央视频道,#genre#
CCTV1,http://43.248.128.135:35455/gaoma/cctv1.m3u8
CCTV1,http://3.itv.nctv.top:35455/gaoma/cctv1.m3u8
CCTV1,http://home.wwang.pw:35455/gaoma/cctv1.m3u8
CCTV1,http://3501776.xyz:35455/gaoma/cctv1.m3u8
CCTV1,http://60.12.183.46:9901/tsfile/live/0001_1.m3u8
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8
CCTV2,http://3.itv.nctv.top:35455/gaoma/cctv2.m3u8
CCTV2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8
CCTV2,http://home.wwang.pw:35455/gaoma/cctv2.m3u8
CCTV2,http://www.clmy.cc:35455/gaoma/cctv2.m3u8
CCTV3,http://wab201.win:35455/gaoma/cctv3.m3u8
CCTV3,http://home.wwang.pw:35455/gaoma/cctv3.m3u8
CCTV3,http://60.12.183.46:9901/tsfile/live/0003_1.m3u8
CCTV3,http://3501776.xyz:35455/gaoma/cctv3.m3u8
CCTV3,http://117.144.58.42:35455/gaoma/cctv3.m3u8
CCTV4,http://home.wwang.pw:35455/gaoma/cctv4k.m3u8
CCTV4,http://117.144.58.42:35455/gaoma/cctv4k.m3u8
CCTV4,http://3501776.xyz:35455/gaoma/cctv4.m3u8
CCTV4,http://www.clmy.cc:35455/gaoma/cctv4.m3u8
CCTV4,http://60.12.183.46:9901/tsfile/live/0004_1.m3u8
CCTV5,http://60.12.183.46:9901/tsfile/live/0005_1.m3u8
CCTV5,http://www.terrykang.xyz:35455/gaoma/cctv5.m3u8
CCTV5,http://home.wwang.pw:35455/gaoma/cctv5.m3u8
CCTV5,http://3501776.xyz:35455/gaoma/cctv5.m3u8
CCTV5,http://58.57.40.22:9901/tsfile/live/1004_1.m3u8
CCTV5+,http://43.248.128.135:35455/gaoma/cctv5p.m3u8
CCTV5+,http://146.235.213.45:35455/gaoma/cctv5p.m3u8
CCTV5+,http://117.144.58.42:35455/gaoma/cctv5p.m3u8
CCTV5+,http://wab201.win:35455/gaoma/cctv5p.m3u8
CCTV5+,http://li0580.top:35455/gaoma/cctv5p.m3u8
CCTV6,http://3.itv.nctv.top:35455/gaoma/cctv6.m3u8
CCTV6,http://117.144.58.42:35455/gaoma/cctv6.m3u8
CCTV6,http://li0580.top:35455/gaoma/cctv6.m3u8
CCTV6,http://www.clmy.cc:35455/gaoma/cctv6.m3u8
CCTV6,http://wab201.win:35455/gaoma/cctv6.m3u8
CCTV7,http://www.terrykang.xyz:35455/gaoma/cctv7.m3u8
CCTV7,http://home.wwang.pw:35455/gaoma/cctv7.m3u8
CCTV7,http://43.248.128.135:35455/gaoma/cctv7.m3u8
CCTV7,http://3501776.xyz:35455/gaoma/cctv7.m3u8
CCTV7,http://www.clmy.cc:35455/gaoma/cctv7.m3u8
CCTV8,http://117.144.58.42:35455/gaoma/cctv8.m3u8
CCTV8,http://www.clmy.cc:35455/gaoma/cctv8.m3u8
CCTV8,http://3501776.xyz:35455/gaoma/cctv8.m3u8
CCTV8,http://60.12.183.46:9901/tsfile/live/0008_1.m3u8
CCTV8,http://home.wwang.pw:35455/gaoma/cctv8.m3u8
CCTV9,http://39.164.160.249:9901/tsfile/live/0009_1.m3u8
CCTV9,http://home.wwang.pw:35455/gaoma/cctv9.m3u8
CCTV9,http://117.144.58.42:35455/gaoma/cctv9.m3u8
CCTV9,http://146.235.213.45:35455/gaoma/cctv9.m3u8
CCTV9,http://wab201.win:35455/gaoma/cctv9.m3u8
CCTV10,http://43.248.128.135:35455/gaoma/cctv10.m3u8
CCTV10,http://li0580.top:35455/gaoma/cctv10.m3u8
CCTV10,http://117.144.58.42:35455/gaoma/cctv10.m3u8
CCTV10,http://39.164.160.249:9901/tsfile/live/0010_1.m3u8
CCTV10,http://3.itv.nctv.top:35455/gaoma/cctv10.m3u8
CCTV11,http://3.itv.nctv.top:35455/gaoma/cctv11.m3u8
CCTV11,http://43.248.128.135:35455/gaoma/cctv11.m3u8
CCTV11,http://home.wwang.pw:35455/gaoma/cctv11.m3u8
CCTV11,http://li0580.top:35455/gaoma/cctv11.m3u8
CCTV11,http://3501776.xyz:35455/gaoma/cctv11.m3u8
CCTV12,http://39.164.160.249:9901/tsfile/live/0012_1.m3u8
CCTV12,http://43.248.128.135:35455/gaoma/cctv12.m3u8
CCTV12,http://home.wwang.pw:35455/gaoma/cctv12.m3u8
CCTV12,http://117.144.58.42:35455/gaoma/cctv12.m3u8
CCTV12,http://3501776.xyz:35455/gaoma/cctv12.m3u8
CCTV13,http://39.164.160.249:9901/tsfile/live/0013_1.m3u8
CCTV13,http://146.235.213.45:35455/gaoma/cctv13.m3u8
CCTV13,http://117.144.58.42:35455/gaoma/cctv13.m3u8
CCTV13,http://3501776.xyz:35455/gaoma/cctv13.m3u8
CCTV13,http://home.wwang.pw:35455/gaoma/cctv13.m3u8
CCTV14,http://www.terrykang.xyz:35455/gaoma/cctv14.m3u8
