📡电信主力,#genre#
海看宝宝,http://150.138.8.143/00/SNM/CHANNEL00000204/index.m3u8
海看演艺,http://150.138.8.143/00/SNM/CHANNEL00000400/index.m3u8
海看健康,http://150.138.8.143/00/SNM/CHANNEL00000401/index.m3u8
海看少儿,http://150.138.8.143/00/SNM/CHANNEL00000402/index.m3u8
海看剧场,http://150.138.8.143/00/SNM/CHANNEL00000403/index.m3u8
海看热播,http://150.138.8.143/00/SNM/CHANNEL00000405/index.m3u8
海看大片,http://150.138.8.143/00/SNM/CHANNEL00000407/index.m3u8
海看电竞,http://150.138.8.143/00/SNM/CHANNEL00000408/index.m3u8
喜剧影院,http://150.138.8.143/00/SNM/CHANNEL00000602/index.m3u8
动作影院,http://150.138.8.143/00/SNM/CHANNEL00000603/index.m3u8
经典影院,http://150.138.8.143/00/SNM/CHANNEL00000604/index.m3u8
IPTV少儿动画,http://150.138.8.143/00/SNM/CHANNEL00000605/index.m3u8
IPTV相声小品,http://150.138.8.143/00/SNM/CHANNEL00000606/index.m3u8
财富天下,http://150.138.8.143/00/SNM/CHANNEL00000607/index.m3u8
IPTV热播剧场,http://150.138.8.143/00/SNM/CHANNEL00000608/index.m3u8
IPTV魅力时尚,http://150.138.8.143/00/SNM/CHANNEL00000609/index.m3u8
墨宝,http://150.138.8.143/00/SNM/CHANNEL00000610/index.m3u8
光影,http://150.138.8.143/00/SNM/CHANNEL00000611/index.m3u8
美食,http://150.138.8.143/00/SNM/CHANNEL00000612/index.m3u8
四海钓鱼,http://150.138.8.143/00/SNM/CHANNEL00000640/index.m3u8
优优宝贝,http://150.138.8.143/00/SNM/CHANNEL00000641/index.m3u8
中华特产,http://150.138.8.143/00/SNM/CHANNEL00000642/index.m3u8
环球旅游,http://150.138.8.143/00/SNM/CHANNEL00000643/index.m3u8
生态环境,http://150.138.8.143/00/SNM/CHANNEL00000644/index.m3u8
车迷频道,http://150.138.8.143/00/SNM/CHANNEL00000645/index.m3u8
SIZE体育赛事,http://150.138.8.143/00/SNM/CHANNEL00002013/index.m3u8
无版权,http://150.138.8.143/00/SNM/CHANNEL00004004/index.m3u8
济南新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000061/index.m3u8
济南都市,http://150.138.8.143/00/SNM/CHANNEL00000062/index.m3u8
济南生活,http://150.138.8.143/00/SNM/CHANNEL00000063/index.m3u8
济南影视,http://150.138.8.143/00/SNM/CHANNEL00000064/index.m3u8
济南娱乐,http://150.138.8.143/00/SNM/CHANNEL00000065/index.m3u8
济南商务,http://150.138.8.143/00/SNM/CHANNEL00000066/index.m3u8
济南少儿,http://150.138.8.143/00/SNM/CHANNEL00000067/index.m3u8
济南教育高清,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8
济南鲁中,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
济南科教,http://150.138.8.143/00/SNM/CHANNEL00000245/index.m3u8
青岛1,http://150.138.8.143/00/SNM/CHANNEL00000500/index.m3u8
青岛2,http://150.138.8.143/00/SNM/CHANNEL00000501/index.m3u8
青岛3,http://150.138.8.143/00/SNM/CHANNEL00000502/index.m3u8
青岛4,http://150.138.8.143/00/SNM/CHANNEL00000503/index.m3u8
青岛5,http://150.138.8.143/00/SNM/CHANNEL00000504/index.m3u8
青岛6,http://150.138.8.143/00/SNM/CHANNEL00000505/index.m3u8
烟台新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00000280/index.m3u8
烟台公共,http://150.138.8.143/00/SNM/CHANNEL00000281/index.m3u8
烟台经济科技高清,http://150.138.8.143/00/SNM/CHANNEL00000282/index.m3u8
烟台影视高清,http://150.138.8.143/00/SNM/CHANNEL00000283/index.m3u8
淄博新闻高清,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
淄博都市,http://150.138.8.143/00/SNM/CHANNEL00000293/index.m3u8
淄博生活,http://150.138.8.143/00/SNM/CHANNEL00000294/index.m3u8
淄博科教,http://150.138.8.143/00/SNM/CHANNEL00000295/index.m3u8
德州综合高清,http://150.138.8.143/00/SNM/CHANNEL00000206/index.m3u8
德州经济生活高清,http://150.138.8.143/00/SNM/CHANNEL00000207/index.m3u8
潍坊综合高清,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
潍坊都市高清,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8
滨州新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000220/index.m3u8
滨州公共,http://150.138.8.143/00/SNM/CHANNEL00000221/index.m3u8
东营综合,http://150.138.8.143/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143/00/SNM/CHANNEL00000227/index.m3u8
菏泽综合,http://150.138.8.143/00/SNM/CHANNEL00000232/index.m3u8
菏泽公共,http://150.138.8.143/00/SNM/CHANNEL00000234/index.m3u8
单县综合,http://150.138.8.143/00/SNM/CHANNEL00001079/index.m3u8
巨野新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001046/index.m3u8
东明综合,http://150.138.8.143/00/SNM/CHANNEL00001065/index.m3u8
郓城新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001041/index.m3u8
定陶综合高清,http://150.138.8.143/00/SNM/CHANNEL00001063/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000238/index.m3u8
济宁教育,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
济宁综合高清,http://150.138.8.143/00/SNM/CHANNEL00000240/index.m3u8
济宁公共,http://150.138.8.143/00/SNM/CHANNEL00000241/index.m3u8
梁山新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00001075/index.m3u8
聊城综合,http://150.138.8.143/00/SNM/CHANNEL00000250/index.m3u8
聊城公共,http://150.138.8.143/00/SNM/CHANNEL00000251/index.m3u8
日照新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000262/index.m3u8
日照科教,http://150.138.8.143/00/SNM/CHANNEL00000263/index.m3u8
威海公共,http://150.138.8.143/00/SNM/CHANNEL00000275/index.m3u8
寿光新闻,http://150.138.8.143/00/SNM/CHANNEL00001000/index.m3u8
东平新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001001/index.m3u8
沂源新闻,http://150.138.8.143/00/SNM/CHANNEL00001002/index.m3u8
宁津新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00001003/index.m3u8
诸城新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001004/index.m3u8
商河综合高清,http://150.138.8.143/00/SNM/CHANNEL00001008/index.m3u8
惠民综合频道,http://150.138.8.143/00/SNM/CHANNEL00001009/index.m3u8
莒县综合,http://150.138.8.143/00/SNM/CHANNEL00001014/index.m3u8
长清新闻,http://150.138.8.143/00/SNM/CHANNEL00001018/index.m3u8
桓台综合,http://150.138.8.143/00/SNM/CHANNEL00001020/index.m3u8
无棣综合高清,http://150.138.8.143/00/SNM/CHANNEL00001024/index.m3u8
新泰新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00001029/index.m3u8
济阳综合高清,http://150.138.8.143/00/SNM/CHANNEL00001030/index.m3u8
蒙阴综合,http://150.138.8.143/00/SNM/CHANNEL00001031/index.m3u8
兰陵综合高清,http://150.138.8.143/00/SNM/CHANNEL00001032/index.m3u8
昌乐新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00001033/index.m3u8
沾化综合,http://150.138.8.143/00/SNM/CHANNEL00001035/index.m3u8
阳信新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001036/index.m3u8
淄博新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00001037/index.m3u8
邹城新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00001038/index.m3u8
冠县综合,http://150.138.8.143/00/SNM/CHANNEL00001040/index.m3u8
青州综合高清,http://150.138.8.143/00/SNM/CHANNEL00001042/index.m3u8
广饶新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00001043/index.m3u8
岚山高清,http://150.138.8.143/00/SNM/CHANNEL00001044/index.m3u8
寿光蔬菜高清,http://150.138.8.143/00/SNM/CHANNEL00001045/index.m3u8
莘县综合高清,http://150.138.8.143/00/SNM/CHANNEL00001047/index.m3u8
茌平综合高清,http://150.138.8.143/00/SNM/CHANNEL00001048/index.m3u8
乳山综合高清,http://150.138.8.143/00/SNM/CHANNEL00001049/index.m3u8
平阴综合,http://150.138.8.143/00/SNM/CHANNEL00001050/index.m3u8
兖州新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001051/index.m3u8
曲阜新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00001052/index.m3u8
荣成综合高清,http://150.138.8.143/00/SNM/CHANNEL00001053/index.m3u8
平度新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00001054/index.m3u8
栖霞综合,http://150.138.8.143/00/SNM/CHANNEL00001055/index.m3u8
齐河新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001056/index.m3u8
青州文化旅游高清,http://150.138.8.143/00/SNM/CHANNEL00001057/index.m3u8
邹平新闻频道高清,http://150.138.8.143/00/SNM/CHANNEL00001058/index.m3u8
武城新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00001059/index.m3u8
武城综艺影视高清,http://150.138.8.143/00/SNM/CHANNEL00001060/index.m3u8
禹城综合高清,http://150.138.8.143/00/SNM/CHANNEL00001061/index.m3u8
禹城综艺高清,http://150.138.8.143/00/SNM/CHANNEL00001062/index.m3u8
平原新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001064/index.m3u8
新泰乡村高清,http://150.138.8.143/00/SNM/CHANNEL00001066/index.m3u8
莱西综合高清,http://150.138.8.143/00/SNM/CHANNEL00001067/index.m3u8
五莲新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001068/index.m3u8
夏津综合高清,http://150.138.8.143/00/SNM/CHANNEL00001069/index.m3u8
夏津公共高清,http://150.138.8.143/00/SNM/CHANNEL00001070/index.m3u8
临沂综合高清,http://150.138.8.143/00/SNM/CHANNEL00001071/index.m3u8
临沂公共,http://150.138.8.143/00/SNM/CHANNEL00001072/index.m3u8
牟平新闻,http://150.138.8.143/00/SNM/CHANNEL00001076/index.m3u8
牟平生活,http://150.138.8.143/00/SNM/CHANNEL00001077/index.m3u8
陵城新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001082/index.m3u8
昌邑新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00001083/index.m3u8
崂山综合,http://150.138.8.143/00/SNM/CHANNEL00001022/index.m3u8
黄岛新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001086/index.m3u8
黄岛生活高清,http://150.138.8.143/00/SNM/CHANNEL00001087/index.m3u8
胶州新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001074/index.m3u8
蓬莱新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001088/index.m3u8
高密新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00001089/index.m3u8
长岛新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001090/index.m3u8
